prop_name,area1,lat,lng
AZIZI Riviera 28, Meydan One,25.17243385,55.30603027
Elite Sports Residence 5, Elite Sports Residence,25.04058647,55.22179794
Dubai Wharf, Al Jaddaf,25.22573853,55.33868027
Lago Vista B, Lago Vista,25.0343895,55.2019577
Ayal Nasir, Al Ras,25.27405739,55.30511093
AZIZI Riviera 47, Meydan One,25.17213058,55.31173706
AZIZI RIviera 18, Meydan One,25.17315674,55.30810928
Mediterranean Cluster, Discovery Gardens,25.04452896,55.1373558
Goldcrest Executive, JLT Cluster C,25.0687294,55.13981628
Oasis Tower 1, Dubai Sports City,25.04021835,55.21997452
Marquise Square Tower, Business Bay,25.18533707,55.27629852
Jebel Ali Industrial, Jebel Ali,24.99528122,55.1210289
Kappa Acca 3, Dubai South (Dubai World Central),24.93962288,55.22122192
Al Jaddaf, Dubai,25.2143383,55.32577515
Rola Road, Al Raffa,25.25706291,55.29045486
Bay Square, Business Bay,25.1857338,55.28059006
Al Muteena, Deira,25.27574921,55.32229996
Eagle Heights, Dubai Sports City,25.03647423,55.22090149
Arabian gate 1, Dubai Residence Complex,25.09264183,55.37445831
Sadaf 7, Sadaf,25.08125114,55.13851929
THE PEARL, Umm Hurair 2,25.22856522,55.32221222
The Crescent Tower C, The Crescent,25.033535,55.20213699
29 Burj Boulevard Podium, 29 Burj Boulevard,25.19193077,55.27248764
Le Grand Chateau C, Le Grand Chateau,25.06490326,55.20690155
Bloom Towers, Jumeirah Village Circle,25.06648445,55.20294952
Al Qusais Industrial Area, Al Qusais,25.28805733,55.39456558
Westwood By IMTIAZ, Al Furjan,25.04009438,55.13861847
Marina Diamond 3, Marina Diamonds,25.08157539,55.14694977
AZIZI Riviera 1, Meydan One,25.17329597,55.29997253
Meydan One, Meydan,25.17385483,55.31134796
Discovery Gardens, Dubai,25.03897476,55.1438942
Carson, DAMAC Hills,25.02410889,55.24290848
La Residence, Jumeirah Village Triangle,25.0343895,55.17439651
Belgravia Heights 1, Jumeirah Village Circle,25.05310249,55.21824646
Paradise View 1, Majan,25.09537888,55.32169342
Y19, England Cluster,25.17252922,55.40121078
Al Rigga, Deira,25.26757813,55.31296539
France Cluster, International City,25.16209412,55.39912796
Elite Sports Residence 6, Elite Sports Residence,25.04141617,55.21734238
Lake City Tower, JLT Cluster D,25.07052231,55.14087296
UniEstate Mansion, Dubai Investment Park (DIP),25.00462532,55.16921616
Al Raffa, Bur Dubai,25.25687981,55.28903961
MOG 204, Mogul Cluster,25.03252411,55.15149689
Wadi Al Safa 5, Dubai,25.08069229,55.34143448
Binghatti Stars, Dubai Silicon Oasis,25.11252594,55.37610626
Lawnz by Danube, International City,25.15708733,55.40887451
Aurion Residence, Jumeirah Village Circle,25.06389809,55.2092247
Savoy Suites Hotel Apartments, Mankhool,25.2536869,55.29755783
Building 203 to Building 229, Mesoamerican,25.03134727,55.15731049
Art Gardens Building A, Arjan,25.06710625,55.24069214
Skycourts Tower C, Skycourts Towers,25.09036446,55.38641739
Maritime City, Dubai,25.26664543,55.26590729
By OBS Designer Residences, Dubai Production City (IMPZ),25.03927231,55.19500732
Al Nahda, Dubai,25.29250717,55.37242889
Samia Azizi, Al Furjan,25.02599907,55.13874817
DMC Staff Accommodation, Maritime City,25.2626667,55.26764679
AZIZI Roy Mediterranean, Al Furjan,25.02157021,55.1554184
Majestique Residence, Dubai South (Dubai World Central),24.94485664,55.2099762
Lago Vista A, Lago Vista,25.03393364,55.20202255
La Perla Blanca, Jumeirah Village Circle,25.05603409,55.20120621
The Dania District 3, Midtown,25.02450371,55.1832428
U13, Italy Cluster,25.16985893,55.40089417
Samana Hills, Arjan,25.06764984,55.24779129
Silicon Gates 1, Silicon Gates,25.11704826,55.39159775
Salim 1 Building, Arjan,25.0631237,55.2338028
Downtown Dubai, Dubai,25.19498444,55.27841568
Jumeirah Village Circle, Dubai,25.05638885,55.20812225
Indigo Tower, Dubai Residence Complex,25.08873367,55.37987518
Lincoln Park, Arjan,25.06101608,55.23731232
Dubai Production City (IMPZ), Dubai,25.03177643,55.19002151
Morocco Cluster, International City,25.16153145,55.41799927
Expo Village Residences 4B, Expo Village Residences,24.9625988,55.1431694
Mirdif, Dubai,25.21953773,55.41993332
Deira, Dubai,25.27691269,55.32857132
Munira Residence, Dubai Residence Complex,25.09736061,55.37817001
Italy Cluster, International City,25.1677475,55.40067291
Oxford Building, Jumeirah Village Circle,25.04642105,55.20335388
Al Maha Residence, Dubai Residence Complex,25.0973835,55.37398148
Dubai South (Dubai World Central), Dubai,24.88975906,55.14538193
Al Shaiba Building, Dubai Outsource Zone,25.12504959,55.42507172
Al Furjan, Dubai,25.02507019,55.14615631
Academic City, Dubai,25.11365891,55.40868759
Mankhool, Bur Dubai,25.24596786,55.29499817
The Palm Tower, Palm Jumeirah,25.11427498,55.13976288
Botanica Tower, Dubai Marina,25.08504677,55.14241409
UPSIDE Living, Business Bay,25.18537712,55.28998184
Murjan 2, Murjan,25.08195496,55.13886261
West Avenue Tower, Dubai Marina,25.07428551,55.13895035
South Residence 1, Dubai South (Dubai World Central),24.94829941,55.20465088
Divine Residence, Arjan,25.06544876,55.24831009
Building 38 to Building 107, Mediterranean Cluster,25.04451942,55.13729095
Elite Sports Residence 8, Elite Sports Residence,25.03790474,55.20553207
Bay Square Building 9, Bay Square,25.18491745,55.28047943
Bay Central West, Bay Central,25.07824135,55.1374855
Pinnacle, Dubai Hills Estate,25.11044121,55.25152588
Lawnz by Danube Block 4, Lawnz by Danube,25.1524086,55.41011047
Executive Tower K, Executive Towers,25.18912315,55.26417923
29 Burj Boulevard Tower 1, 29 Burj Boulevard,25.19213295,55.27216721
Hartland Greens, Sobha Hartland,25.17668533,55.30992126
Bay Square Building 10, Bay Square,25.18515587,55.28111649
Hamza Tower, Dubai Sports City,25.04436302,55.2149086
I06, Morocco Cluster,25.16106606,55.41820145
Lake Elucio, Jumeirah Lake Towers,25.07531738,55.14643097
N08, Persia Cluster,25.15872765,55.4070015
LIV Residence, Dubai Marina,25.08221626,55.1426239
Lake Shore Tower, JLT Cluster Y,25.0784874,55.15309143
Safi 2B, Town Square,25.0111618,55.28694916
T07, Spain Cluster,25.16638947,55.39873123
Safeer Tower 2, Safeer Towers,25.17730141,55.2710762
Kensington Manor, Jumeirah Village Circle,25.04784775,55.20771027
UNA Apartments, Town Square,24.99857521,55.29187393
Dubai Star, JLT Cluster L,25.06511116,55.13765717
Seven Palm, Palm Jumeirah,25.11223793,55.13862991
Loreto 2 B, Loreto,25.01560211,55.25468063
Concorde Tower, JLT Cluster H,25.06977844,55.14416885
Mulberry 1, Emirates Gardens 2,25.05023956,55.20563889
AZIZI Riviera 6, Meydan One,25.17385483,55.30115891
Burj Lake Hotel - The Address DownTown, Downtown Dubai,25.19428253,55.27886963
MAG 318, Business Bay,25.19044113,55.28339767
IC1-EMR-24, Emirates Cluster,25.16011429,55.42338943
Marina Diamond 2, Marina Diamonds,25.06947327,55.13477325
Azizi Riviera 59, Meydan One,25.17470932,55.31447983
MAG 565, MAG 5,24.9515934,55.19946289
The Address Dubai Mall, Downtown Dubai,25.19978142,55.27766037
AZIZI Riviera 8, Meydan One,25.17354393,55.30268097
Goldcrest Views 2, JLT Cluster J,25.06698799,55.14129257
The Pulse Residence, The Pulse,24.93414116,55.22332764
Palm Views West, Palm Views,25.1143322,55.13750458
Building 148 to Building 202, Mogul Cluster,25.03334999,55.15001678
Al Thayyal 2, Al Thayyal,25.09147263,55.17302322
Merano Tower, Business Bay,25.18488312,55.26056671
Capital Bay Tower B, Capital Bay,25.17667007,55.27238846
Saba Tower 2, JLT Cluster Q,25.0770092,55.14603424
DAMAC Maison Aykon City Hotel Apartments, Business Bay,25.18019104,55.25286484
Al Thamam 05, Al Thamam,25.00574684,55.25218582
AZIZI Riviera 11, Meydan One,25.17245674,55.3056221
Park Central, Business Bay,25.17890358,55.27114487
Saba Towers, JLT Cluster Q,25.07650375,55.14574432
Diamond Views 2, Diamond Views,25.06326485,55.21512985
AZIZI Riviera 5, Meydan One,25.17377663,55.30045319
Elz by Danube, Arjan,25.06053543,55.23973083
Azizi Riviera 25, Meydan One,25.17289162,55.30629349
Roxana Residence D, Roxana Residences,25.05698776,55.21724701
Indigo Tower, JLT Cluster D,25.06985283,55.1402092
Hilliana Tower, Acacia Avenues,25.11096764,55.17808151
Elite Tower, Business Bay,25.18738937,55.26382828
V2, Dubai Sports City,25.03703499,55.20541763
Uniestate Supreme Residence, Arjan,25.06389618,55.23308563
Marina Diamond 1, Marina Diamonds,25.07967186,55.14476395
Plaza Residences 1, Plaza Residences,25.05299187,55.20830536
MAG 930, Mohammed Bin Rashid City,25.14388847,55.28645325
Burj Khalifa, Burj Khalifa Area,25.19731522,55.27419662
SLS Dubai Hotel & Residences, Business Bay,25.18448257,55.29234314
Sparkle Tower 2, Sparkle Towers,25.07189751,55.13153458
Navitas Hotel and Residences, Damac Hills 2,24.98987007,55.37910461
Edmonton Elm, Jumeirah Village Triangle,25.03980064,55.18138123
Samana Hills, Arjan,25.06760406,55.24768829
Waves Tower, Business Bay,25.18349457,55.28410339
D08, China Cluster,25.16742516,55.41465759
Loreto 3 B, Loreto,25.01685905,55.25400543
IC1-EMR-08, Emirates Cluster,25.16226387,55.42120361
SAFI 1A, Town Square,25.01144791,55.28881073
Samana Greens, Arjan,25.06329918,55.24334335
Madison Residency, Barsha Heights (Tecom),25.10004044,55.17515945
Joya Blanca Residences, Arjan,25.06402779,55.23019409
Med 68, Mediterranean Cluster,25.04060745,55.13955688
Vincitore Palacio, Arjan,25.06580544,55.23300552
Dukes The Palm, Palm Jumeirah,25.11211395,55.13770294
Desert Sun, Dubai Residence Complex,25.0913105,55.37827682
Belgravia 3, Belgravia,25.0597477,55.19960022
DT1, Downtown Dubai,25.19165039,55.26940536
Damac Maison Cour Jardin, Business Bay,25.18755531,55.26747513
Al Khail Heights, Dubai,25.15498352,55.25424194
Noora Residence 1, Noora Residence,25.05977821,55.20532227
Millennium Atria Business Bay, Business Bay,25.18030167,55.26389313
Manara, Badrah,24.95016861,55.04999161
Pearl Residence, Al Sufouh 1,25.11068535,55.17954254
Al Thayyal 3, Al Thayyal,25.09097672,55.17361832
Saba Tower 3, JLT Cluster Q,25.0763092,55.14538956
J ONE Tower A, J ONE,25.18578148,55.28306198
