,id,beds,baths,rating,reviews,capacity,title,revenue,occ,adr,lat,lng
0,abnb_892028941767642794,1,1.5,5.0,5,4,A Cozy warm apartment,42125.35,39.68,561.67,25.2289,55.2827
0,abnb_969466370520582466,1,1.5,5.0,9,3,A stylish experience at Heart,42121.68,61.81,342.45,25.209,55.2717
0,abnb_959189044698690565,1,1.5,4.9,10,4,Lovely Apt Dubai Marina 150m Sea,42114.33,86.32,416.97,25.0886117,55.1481898
0,abnb_1070172512255939334,1,1.0,5.0,1,2,Beachfront studio in Seven Palm,42114.33,65.38,619.33,25.1122,55.1386
0,abnb_1088239150685860468,1,2.0,5.0,7,3,Lovely Marina View 1BR in Dubai Marina,42106.99,67.48,507.31,25.0785,55.1375
0,abnb_955590376445532450,1,1.5,5.0,3,3,Modern One Bedroom Apartment in Business Bay,42106.99,65.74,593.06,25.191988534,55.29151623
0,abnb_950539413528803918,1,1.5,5.0,2,2,Modern 1BR in Port De Lamer w/ Amazing Sea Views!,42095.97,72.62,690.1,25.238212059,55.251232558
0,abnb_999702073596599840,1,1.5,4.5,4,2,OFFER! 50% OFF GIVEN! 1 bed apartment with view!,42095.97,57.81,568.86,25.1908,55.291
0,vrbo_3594480,1,1.5,,0,4,Luxury in Business District,42092.29,64.41,1107.69,25.189589,55.268208
0,abnb_914911618476420934,1,1.5,5.0,7,2,V3 Tower - Elegant One Bedroom,42088.62,84.15,609.98,25.07862,55.15088
0,abnb_50148935,1,1.0,4.6,13,2,Charming One Bedroom Apartment - Twin Bed,42055.56,53.33,328.56,25.1174,55.1952
0,abnb_1049167831808683134,1,1.5,4.8,11,4,1 Bed Apt in Vida Creek Beach,42051.89,51.77,576.05,25.201570656,55.349485177
0,abnb_1036075756419695645,1,1.0,4.4,3,3,JRR Stays - JVC Modern 1 Bedroom Sleeps 3 Oxford,42044.54,88.71,764.45,25.067701862,55.207410708
0,abnb_767780324651274039,1,1.5,5.0,3,4,"Dubai Marina, Marina Tower (1 bedroom)",42044.54,39.74,678.14,25.084065,55.144508
0,abnb_851188087823637941,1,1.0,,,2,Azizi Farhad | Studio,42040.87,75.86,382.19,25.20816,55.31465
0,abnb_812215398740030295,1,1.0,4.7,7,3,Iconic Views Apt With Balcony Close to the Beach,42037.2,46.0,913.85,25.135,55.1898
0,abnb_47107568,1,1.5,4.6,7,2,Royal Amwaj Palms Apartment Beach Pool Kitchen,42029.85,44.29,677.9,25.1273,55.15414
0,abnb_760596323669212728,1,2.0,3.6,6,4,Gorgeous 1 Bedroom Apartment in Sulafa Tower,42026.18,67.15,456.81,25.08998,55.14778
0,abnb_862078244882023983,1,1.0,4.7,7,2,Luxury 1BR Paramount Towers Business Bay,42026.18,61.02,583.7,25.186170058,55.291997678
0,abnb_1099742236648509741,1,1.0,,,2,Stunning 1 Bedroom home in Business Bay,42026.18,44.12,933.92,25.1853,55.2899
0,abnb_963371009206020159,1,1.5,4.4,16,4,"One Bedroom, 1 Min from Metro.",42022.51,88.06,356.12,25.030048544,55.151959421
0,abnb_10030514,1,1.5,,,2,Down Town Vida Cosy Two - Zan. 3/7,42018.83,41.26,494.34,25.19151,55.27527
0,abnb_1065119388491752120,1,1.0,5.0,2,3,Trophy | Marina Vista Sea View Suite,42015.16,40.0,1105.66,25.0981042,55.140921
0,abnb_1008492570307543300,1,1.5,4.8,5,2,Silkhaus Modern 1 BDR | in Heart of Downtown,42011.49,58.23,913.29,25.19189335,55.27223022
0,abnb_1051102793353824450,1,1.0,,,2,2ndhome - Business Bay - Zada Tower,42007.82,38.46,840.16,25.18497667,55.260670988
0,abnb_567834228842195136,1,1.0,4.7,66,2,Charming apartment with brand new furniture,41989.45,81.27,193.5,25.05933,55.20839
0,abnb_1049957190921403114,1,1.0,4.4,7,3,Modern 1BR in Reva Residence w/ Burj Khalifa Views,41974.76,52.54,677.01,25.18829,55.28289
0,vrbo_3610910,1,1.5,,0,2,"Luxe - Dubai 1BR Gem, Central, Near Key Spots",41963.74,47.76,655.68,25.143997,55.194585
0,abnb_627179788226957511,1,1.0,5.0,2,2,Luxury Studio in Palm Near Viva Supermarket,41963.74,22.44,736.21,25.10961,55.14398
0,vrbo_3576337,1,1.0,,0,2,Modern 1BHK Apt - Damac Tower 108 JVC - Ezytrac Vacation Homes,41945.37,65.43,791.42,25.06283,55.190882
0,abnb_559225377011965948,1,1.0,2.0,3,2,Urban Studio Square Tower Jumeirah Village Circle,41941.7,70.0,427.98,25.0465,55.2061
0,abnb_873753470934913117,1,2.0,,,2,One Bedroom Apartment Near Gold Souk,41941.7,34.91,517.8,25.2787,55.30565
0,abnb_982620238618994589,1,2.0,4.8,4,3,GuestReady - Lux nest at District One,41938.03,83.52,551.82,25.156100942,55.286378098
0,abnb_52326298,1,1.5,5.0,35,3,Dubai -Burj Khalifa & Canal view 1 bedroom,41930.68,52.02,465.9,25.1834,55.2835
0,abnb_970914163708673751,1,1.5,5.0,2,2,OFFER! 50% OFF GIVEN! Stylish 1 bedroom flat for 2,41927.01,62.07,465.86,25.159159605,55.284961542
0,abnb_999066827147691300,1,1.0,5.0,10,3,Sadana’s,41919.66,68.07,517.53,25.070792488,55.140648669
0,abnb_947417269307835359,1,2.0,4.6,3,4,GuestReady- Luxurious Canal And Burj Khalifa Views,41915.99,90.22,505.01,25.187760304,55.285900454
0,abnb_613514210370920998,1,1.5,4.2,8,3,Stylish 1BR in Business Bay!,41915.99,68.15,391.74,25.18276,55.27993
0,abnb_880234565149552976,1,2.0,5.0,5,2,Stylish 1BR Apartment | Spectacular Marina views,41912.32,55.47,590.31,25.0818,55.142
0,abnb_1030103962719925881,1,1.0,,,2,Luxurious 1BR in Fairmont Palm | Beach Access,41908.64,83.33,558.78,25.111356516,55.138634957
0,abnb_1053397967484761275,1,1.5,5.0,2,3,"1 Bdr Seaview Per The Palm, Free beach&pool",41904.97,34.96,974.53,25.127,55.1535
0,abnb_1049885639857786567,1,1.0,4.8,4,3,"1BR apartment, 5 mins to Burj Khalifa & Dubai Mall",41897.63,30.88,997.56,25.202726051,55.280939186
0,abnb_1115303670555276741,1,1.0,5.0,5,4,Sky High Oceanview Retreat,41890.28,53.19,837.81,25.0887,55.1468
